nouns,verbs,adjectives,adverbs,pronouns,conjunctions,other
97,35,24,8,10,40,61
437,213,96,40,28,198,351
80,53,27,4,23,35,62
293,165,83,18,31,117,273
17,6,1,0,2,6,6
91,66,21,19,31,40,89
659,363,136,91,62,328,544
104,33,13,4,11,36,60
12,6,2,1,0,7,7
476,219,90,53,70,213,364
121,36,19,13,11,34,99
339,105,81,28,21,119,228
344,233,91,59,115,161,357
175,101,52,34,36,83,178
468,237,81,43,50,189,377
263,144,103,44,46,151,247
89,16,11,2,2,26,52
277,167,43,24,18,139,300
372,155,115,54,31,225,358
96,49,29,6,5,46,94
458,312,73,60,77,223,435
464,232,88,55,44,216,417
11,2,1,2,1,6,7
344,191,80,46,50,143,352
316,145,49,25,40,140,241
189,108,44,27,59,92,157
139,51,30,16,15,64,115
177,65,36,13,12,55,132
242,83,33,10,15,105,161
69,18,8,3,1,19,35
158,63,27,9,15,70,127
225,122,40,55,21,111,206
508,308,114,78,151,254,490
107,58,11,9,15,35,71
89,29,11,7,9,23,44
429,165,79,38,33,188,329
585,213,89,30,40,242,383
194,71,46,13,9,52,134
304,169,81,26,41,130,288
343,177,96,43,58,152,345
398,179,77,38,64,178,295
560,235,133,57,60,230,402
284,164,61,51,46,122,242
286,128,90,36,65,143,214
494,187,88,34,40,209,322
28,11,8,4,2,7,29
957,606,225,165,224,505,958
478,260,113,72,57,232,531
249,131,39,22,18,125,211
257,85,32,33,23,75,176
57,22,10,3,10,18,36
48,23,11,9,3,20,43
602,304,155,105,102,272,564
415,196,83,38,39,185,328
180,43,40,12,11,88,105
216,98,64,33,22,77,154
121,60,12,16,15,49,93
301,151,77,41,58,157,317
128,85,31,28,42,90,164
155,69,47,21,26,77,167
156,77,21,15,14,54,105
227,131,39,23,35,105,201
170,93,36,17,28,53,151
125,65,29,18,13,49,90
424,179,79,22,35,182,281
133,75,30,16,13,49,93
40,14,4,0,4,13,26
255,132,44,20,25,106,194
63,9,6,1,4,11,26
118,66,30,16,20,52,80
181,77,44,9,13,83,135
456,209,90,51,76,195,337
484,223,103,51,60,205,348
348,198,108,57,27,162,333
423,205,114,43,31,190,361
523,238,109,61,50,231,428
132,68,14,19,20,43,89
1563,791,402,183,153,688,1182
505,220,106,43,78,220,396
258,149,75,38,27,120,256
10,3,5,3,0,9,3
26,1,0,0,0,5,14
70,39,28,10,7,39,58
263,125,49,23,23,122,243
350,189,85,49,35,150,331
343,167,73,50,55,182,303
76,29,3,5,6,33,51
299,229,88,72,97,224,303
63,49,12,14,17,32,53
97,52,13,8,21,40,83
2,0,0,0,0,0,0
246,118,46,23,29,114,177
61,40,13,9,14,18,67
416,200,85,58,60,151,326
375,254,114,45,119,159,336
790,321,174,83,97,292,602
50,36,20,8,13,31,45
286,140,61,26,29,131,269
575,253,137,66,95,251,458
283,161,76,50,32,154,271
419,250,98,46,49,224,402
293,99,72,28,22,119,193
248,130,78,59,38,158,258
99,21,19,2,1,28,58
302,209,60,51,126,163,278
141,75,28,4,14,53,96
361,201,113,40,45,164,264
48,17,2,4,5,16,29
2348,1349,532,367,530,1090,2051
142,61,28,19,11,51,102
205,80,56,11,22,75,189
713,276,226,74,51,305,516
203,135,47,27,28,99,201
1811,972,350,252,360,678,1418
455,342,182,112,119,306,426
774,324,124,72,75,306,550
470,219,83,52,49,195,373
150,80,45,28,11,68,126
463,218,114,42,75,186,391
132,33,20,11,9,37,116
292,184,61,45,43,131,303
354,163,50,33,46,119,212
141,68,25,21,28,46,98
341,190,95,52,56,159,296
364,197,75,50,42,189,355
17,5,2,2,0,5,17
128,74,29,13,19,61,139
622,282,103,74,75,242,482
179,110,42,29,40,84,142
61,26,3,7,4,14,19
42,20,14,6,8,13,44
238,128,41,31,23,97,269
18,7,1,3,1,4,2
461,215,108,53,65,188,359
283,132,37,33,43,100,172
372,196,79,36,50,152,291
508,247,118,65,81,239,421
150,62,29,18,15,59,130
316,170,74,52,52,136,265
611,268,155,62,24,263,439
237,138,53,36,44,97,236
43,20,10,5,5,22,48
440,232,127,57,47,203,371
338,182,136,41,55,202,294
940,34,44,0,0,1,158
221,100,19,14,18,85,169
56,28,13,7,4,28,35
451,230,113,77,40,174,383
116,22,27,0,0,12,87
423,222,110,56,83,198,360
86,31,18,11,2,35,76
143,62,30,11,8,59,90
333,128,51,24,20,154,212
108,36,15,4,1,38,67
488,195,102,50,33,191,304
167,55,18,12,10,51,87
273,132,77,44,28,148,311
75,26,6,5,7,31,44
99,62,24,17,16,52,96
120,59,23,12,21,36,84
397,237,87,35,59,185,345
53,19,5,3,2,13,22
242,170,52,37,58,116,238
224,129,77,43,42,125,230
285,147,74,26,21,117,226
176,88,30,25,15,62,152
450,193,104,42,38,176,322
119,52,28,18,8,59,102
173,79,25,10,15,75,138
173,79,33,19,28,71,94
39,16,2,4,5,6,23
299,92,40,9,25,87,172
77,12,11,1,0,3,30
385,175,97,40,67,154,269
483,225,73,55,50,218,342
471,214,139,54,30,181,343
186,20,19,3,3,16,94
386,140,70,37,41,168,275
626,340,132,99,148,268,484
322,165,53,35,56,140,235
446,215,102,50,80,211,375
157,56,44,19,4,97,140
43,18,4,4,8,19,26
397,333,104,97,255,203,486
126,63,45,18,15,75,95
594,313,100,56,97,254,468
136,94,33,32,17,52,112
411,204,67,35,60,191,301
50,26,11,9,19,29,49
530,275,123,66,59,237,534
31,15,1,3,3,14,23
408,239,108,73,105,196,397
75,52,21,5,22,34,66
229,74,35,28,17,71,203
245,140,62,45,45,96,218
126,73,26,13,34,61,103
26,14,5,4,2,12,24
107,38,18,3,9,39,58
206,64,43,23,14,78,151
281,135,79,41,50,138,248
527,242,96,66,57,196,404
380,197,64,57,47,163,308
19,12,3,0,3,8,23
214,170,98,54,61,128,295
17,3,4,1,0,1,8
280,180,60,45,49,127,286
311,124,72,24,12,130,251
55,31,11,9,6,27,42
290,125,87,31,30,135,251
324,139,72,33,43,138,223
291,158,58,27,57,135,279
714,406,215,110,170,350,704
87,43,20,13,9,42,67
241,109,35,18,13,96,189
380,171,108,80,44,183,368
133,58,27,10,10,64,92
238,108,45,36,34,120,190
311,124,73,22,10,161,245
647,394,149,81,187,275,687
120,48,36,15,5,54,81
1924,172,367,19,3,134,1217
551,237,120,42,56,230,403
463,310,139,85,135,221,459
177,83,30,18,12,82,130
260,111,30,23,41,92,186
250,99,56,29,14,104,175
448,255,124,62,58,229,434
103,59,26,9,17,55,107
54,29,12,7,12,22,43
164,71,17,5,16,59,102
98,83,32,37,48,48,127
150,62,18,11,13,49,98
412,200,122,77,46,219,384
951,469,161,91,176,418,706
551,247,109,50,73,212,416
73,31,6,5,6,27,50
187,128,25,23,34,84,179
662,243,193,53,45,314,526
315,127,71,20,27,170,245
39,26,6,3,8,17,34
635,252,112,51,51,251,462
542,279,108,56,61,227,410
499,250,106,66,44,208,475
483,230,92,54,86,184,323
429,194,90,36,39,173,310
419,146,68,22,25,127,302
234,120,55,27,50,109,202
248,90,17,10,21,106,138
432,279,123,87,110,249,490
626,92,107,9,12,33,333
406,181,115,37,68,192,331
361,134,64,21,19,133,244
229,126,25,12,12,88,161
60,45,18,18,15,30,80
95,73,25,20,41,55,97
247,132,27,18,61,92,186
96,30,17,5,8,27,61
608,232,137,57,88,258,518
9,0,2,0,0,2,8
237,82,32,15,30,100,162
500,212,133,63,63,250,411
126,49,20,12,3,53,114
271,194,85,59,129,148,279
249,103,54,13,22,98,165
177,97,45,19,49,80,180
108,59,24,10,23,48,69
89,46,10,14,18,33,75
271,119,64,21,24,105,162
293,138,44,27,30,121,228
10,6,1,0,1,4,13
408,193,70,38,85,178,292
220,56,35,11,9,39,153
562,378,116,82,157,263,532
240,83,79,20,26,73,150
349,155,78,36,25,136,272
213,118,45,27,15,92,200
86,29,16,5,7,25,35
84,68,24,23,25,53,116
399,219,92,49,108,183,324
1166,722,248,154,278,577,1182
353,160,134,48,37,163,297
361,184,84,40,48,159,341
142,83,27,12,9,53,134
443,228,112,38,123,210,415
197,13,19,0,0,3,76
19,7,3,3,3,6,10
203,115,42,36,14,77,167
76,40,13,10,10,27,55
343,145,78,35,42,162,269
268,122,97,32,17,138,204
72,42,25,6,8,39,70
170,67,36,13,24,71,139
437,370,143,73,177,277,503
477,218,91,39,44,185,356
51,22,8,9,5,19,33
63,24,4,9,15,27,51
292,117,71,28,20,134,221
278,145,105,41,25,129,234
120,46,11,10,7,46,83
76,40,13,8,12,35,65
229,117,44,19,41,109,160
56,24,9,6,5,29,49
224,126,48,21,28,111,187
428,266,112,66,74,184,439
113,52,17,5,7,43,93
28,3,2,2,2,2,27
55,45,10,10,24,33,60
364,254,118,80,88,220,410
126,64,18,9,18,59,92
93,39,10,6,1,30,66
241,116,69,31,42,121,257
779,317,172,82,95,288,596
656,368,151,81,115,293,674
234,146,48,36,94,115,229
99,81,19,24,36,43,89
436,178,91,27,18,174,298
293,183,57,48,81,150,314
445,203,74,39,67,175,290
103,36,23,14,5,46,67
213,57,47,16,7,74,147
66,40,22,9,4,27,55
454,192,100,53,42,184,326
392,124,76,20,24,175,246
203,112,50,34,28,91,171
288,80,55,13,14,122,168
204,67,46,16,15,77,135
165,55,36,18,8,74,107
215,131,64,36,56,130,243
135,71,34,28,23,62,104
71,34,16,5,6,33,57
228,143,26,16,50,107,211
166,110,34,21,42,68,146
60,38,13,9,15,25,57
95,54,21,9,24,46,69
286,94,69,28,24,118,188
73,49,15,8,10,25,56
424,202,100,40,45,217,334
164,71,32,13,26,48,80
138,79,41,27,40,70,147
89,47,14,7,15,25,55
119,69,28,15,30,61,96
229,75,51,9,12,68,152
1106,423,322,138,101,546,809
60,19,9,9,5,15,28
385,223,117,49,46,194,321
55,26,5,2,4,27,40
98,47,23,11,3,48,57
10,6,4,0,1,4,10
10,6,1,0,1,2,5
95,69,21,19,37,48,66
230,143,86,43,51,162,270
194,115,49,34,37,96,181
298,171,73,39,36,132,320
129,52,24,19,29,73,108
681,299,103,66,106,243,505
160,81,29,18,33,63,126
428,168,115,44,19,162,321
121,79,38,21,35,66,118
774,400,201,146,61,368,743
177,90,27,14,30,83,126
288,121,43,38,32,123,269
51,22,10,10,6,22,43
570,251,153,56,36,254,493
55,22,8,5,8,18,42
2045,1120,395,273,438,1005,1944
159,66,28,11,11,65,103
118,44,33,11,18,60,81
422,196,76,49,64,150,321
219,127,48,34,81,109,167
75,27,25,6,12,31,63
328,148,34,35,51,127,274
87,75,17,19,18,45,94
242,90,50,22,35,95,125
86,36,20,10,13,30,55
63,62,11,19,30,21,74
481,218,127,43,69,207,342
251,76,48,15,15,83,166
5070,2589,1242,607,624,2764,4854
328,104,97,31,21,124,242
340,295,113,93,115,192,487
869,81,134,4,0,55,666
259,116,54,13,22,110,193
500,293,148,74,124,278,590
231,104,36,20,31,144,261
128,65,26,6,7,56,114
500,322,76,72,185,236,538
192,95,39,18,16,73,117
54,43,17,8,13,20,42
252,153,63,41,67,101,200
145,67,12,15,14,69,113
606,358,182,109,80,316,570
26,12,10,2,9,12,28
19,7,3,3,3,6,10
116,57,19,10,23,46,86
198,115,54,18,27,68,131
10,4,3,0,1,5,6
83,32,10,8,8,28,60
6,0,0,0,0,0,0
166,95,33,24,31,92,155
268,132,56,35,56,122,240
337,131,72,19,30,122,239
114,32,15,2,1,45,113
1629,981,363,197,376,809,1630
763,39,49,0,0,1,127
263,134,40,22,25,114,189
156,59,20,12,19,49,107
210,118,81,43,18,110,191
275,144,86,33,65,114,238
233,149,50,37,17,110,223
189,98,38,18,28,74,124
123,3,5,0,0,0,9
528,259,87,42,62,199,426
298,149,71,40,47,151,390
2905,2056,982,724,904,2015,3610
494,245,101,61,69,209,375
88,36,15,12,2,42,72
432,159,65,31,79,188,334
47,26,5,3,2,20,39
292,154,56,24,32,132,215
312,154,47,35,53,116,247
219,127,52,19,57,100,168
432,244,87,44,26,200,335
110,107,27,28,65,81,134
131,45,22,9,6,57,105
95,41,20,9,15,26,75
306,14,18,0,0,0,69
227,84,33,13,6,98,169
380,173,82,28,35,158,317
201,127,31,27,37,98,171
334,163,90,45,27,178,247
6,0,0,0,0,0,2
150,69,36,13,21,56,81
406,294,95,53,164,217,419
415,206,106,56,90,191,391
209,108,81,34,45,125,209
164,68,33,7,28,53,105
340,213,99,62,55,166,317
379,275,92,56,142,202,403
370,173,89,67,87,177,308
341,159,74,41,58,126,249
1347,998,410,238,465,752,1394
124,53,25,23,6,48,88
2855,1606,577,297,483,1384,2641
56,26,10,4,3,20,40
147,100,29,28,46,55,181
556,271,111,78,108,256,376
341,134,62,20,34,126,230
13,9,2,1,2,3,13
80,42,12,6,19,31,52
144,54,37,12,7,59,137
282,179,64,45,70,125,228
344,161,81,24,27,129,214
39,16,5,2,6,12,16
81,54,16,8,19,28,71
258,214,55,63,139,127,280
158,50,31,10,13,63,106
208,19,35,1,1,15,128
115,53,13,9,9,41,82
204,78,50,21,6,86,117
262,89,68,21,12,116,207
443,307,136,79,122,247,418
145,91,46,35,33,72,153
311,24,31,0,0,4,99
302,165,102,37,39,157,267
259,156,92,58,67,153,302
76,31,23,7,6,33,57
1195,625,304,114,190,542,1023
83,47,19,16,30,42,101
410,166,87,30,34,149,307
361,129,89,14,30,140,233
508,393,159,88,134,267,543
200,85,31,17,23,67,134
137,69,33,8,17,47,102
54,36,12,12,11,18,50
153,69,40,10,15,81,128
184,116,47,35,48,134,201
867,348,314,191,83,458,676
69,8,11,3,2,11,40
82,36,14,5,15,34,39
328,165,60,36,69,110,250
70,48,12,9,20,34,40
97,48,24,8,18,46,71
82,39,32,13,22,43,105
25,12,1,4,3,9,15
367,251,79,44,40,182,363
519,316,162,89,77,251,486
558,415,192,95,148,333,607
411,196,147,55,34,184,294
319,135,80,54,47,158,272
315,13,25,0,0,1,76
144,95,32,22,41,66,118
17,5,2,0,1,4,4
491,176,81,30,32,200,335
138,62,19,17,7,48,112
415,174,131,57,41,193,359
127,70,41,17,7,68,115
545,300,112,50,116,237,467
335,175,91,41,63,183,308
224,90,32,15,24,84,143
60,32,13,4,13,25,34
276,160,74,50,28,162,275
462,243,105,62,68,232,430
115,68,31,12,33,53,92
174,80,53,19,11,78,179
203,112,61,22,30,89,177
387,236,86,31,50,194,417
97,56,16,12,25,43,93
434,163,78,36,26,154,306
42,33,10,8,15,8,44
873,543,382,183,196,589,998
167,83,48,16,11,72,119
136,78,45,29,19,78,128
391,149,95,53,40,153,264
339,185,60,34,58,155,276
237,105,71,27,9,109,191
151,84,36,25,25,65,119
138,72,25,16,24,65,109
19,3,1,1,0,1,9
89,38,10,4,8,35,61
42,9,5,2,2,18,23
314,202,57,61,97,173,333
40,19,7,2,4,29,35
82,39,18,8,3,33,61
462,339,172,114,101,262,525
236,85,49,14,27,88,193
2887,1719,562,342,631,1173,2476
110,59,28,16,20,58,91
68,34,15,9,11,33,49
144,49,26,11,9,31,83
692,48,102,8,0,34,195
408,270,83,70,87,206,426
97,52,18,19,4,41,89
342,186,126,52,55,181,322
224,137,71,42,38,107,180
280,112,65,28,51,134,240
308,193,74,27,24,171,247
177,91,37,17,8,79,152
163,61,44,9,3,66,100
90,57,9,8,24,45,75
318,185,55,30,29,138,265
113,72,27,12,27,57,80
320,93,64,29,22,103,145
345,164,156,50,30,172,290
49,38,11,13,15,21,44
435,188,76,29,44,128,297
544,278,100,59,82,249,479
441,206,77,42,68,188,359
440,219,114,33,51,204,371
695,395,131,77,188,327,577
195,92,32,17,14,110,210
138,79,26,14,38,61,118
172,75,24,14,13,64,131
303,164,72,40,48,129,309
78,7,9,0,0,0,18
417,210,177,103,54,229,489
56,33,17,6,11,25,67
78,44,14,8,7,26,83
61,34,11,8,20,21,45
222,284,94,75,159,175,350
177,48,31,18,19,66,119
255,131,76,38,40,143,245
408,192,74,40,64,188,293
311,145,65,36,59,116,215
340,237,114,64,38,191,367
62,48,4,11,22,31,72
188,29,86,4,8,97,113
323,174,111,66,45,177,397
736,336,138,59,124,293,580
212,181,63,61,135,139,287
157,15,35,2,2,18,102
145,48,12,7,7,49,112
198,87,47,30,21,75,157
356,164,112,54,39,166,331
81,25,7,3,3,36,60
175,71,31,13,7,65,108
140,45,25,10,9,52,115
354,142,140,55,24,199,327
100,62,22,11,9,49,83
79,56,10,8,15,29,56
143,78,40,19,8,68,114
504,262,164,73,52,287,488
461,192,101,36,30,162,300
47,28,10,3,9,17,43
240,104,44,27,31,95,182
1857,791,458,207,160,711,1390
740,370,238,150,132,420,635
525,258,110,59,63,229,422
142,46,27,7,5,59,103
95,28,16,1,0,32,92
1007,465,195,101,106,402,803
177,89,43,12,33,69,154
10,6,5,2,4,4,6
351,188,117,36,46,186,299
207,134,37,47,40,116,204
355,204,95,43,59,165,382
300,168,77,41,39,141,270
517,367,109,65,197,240,412
335,149,92,30,66,166,255
345,189,76,53,77,160,369
73,27,14,10,8,21,49
362,221,100,66,36,166,306
141,56,67,17,14,65,132
141,86,35,29,46,72,137
18,5,4,0,0,6,6
48,30,9,3,2,23,35
522,264,142,68,65,241,391
176,84,62,23,23,91,122
133,77,29,19,10,46,103
52,46,14,8,25,23,49
310,140,45,38,64,159,289
230,116,45,22,33,73,153
133,6,12,0,0,1,31
490,247,92,63,48,210,410
44,21,11,1,3,22,43
73,70,21,21,24,40,105
535,222,108,79,47,200,460
181,77,36,12,13,72,124
504,348,203,92,158,309,626
99,40,20,23,18,25,91
166,90,32,8,30,87,135
215,145,54,52,69,140,244
495,185,92,30,28,176,297
115,64,26,16,13,50,93
160,91,25,22,32,56,138
155,65,31,17,20,77,99
619,322,189,109,96,310,546
349,218,82,51,92,145,338
43,44,11,8,17,18,36
46,33,6,5,2,16,39
356,145,117,38,18,138,252
134,66,39,10,14,63,94
163,66,51,23,16,85,156
46,37,10,17,16,31,60
558,232,115,49,41,227,390
76,33,19,12,14,29,52
263,128,78,50,46,146,228
556,260,128,69,118,300,521
212,136,23,9,37,92,209
740,309,216,78,64,332,706
85,48,25,8,17,33,87
308,150,72,33,27,133,234
100,53,18,18,5,49,92
430,171,85,38,55,204,360
102,51,32,15,26,49,101
355,136,48,25,40,130,248
209,98,38,20,29,96,219
123,20,8,1,5,28,52
549,300,136,77,108,201,425
48,25,6,7,12,21,34
437,199,99,48,67,176,315
194,85,31,14,30,92,141
460,246,88,46,97,233,383
225,92,45,28,15,98,165
67,14,10,7,5,11,36
746,391,217,98,115,400,766
20,7,5,0,2,9,20
106,58,21,9,18,54,74
376,218,92,60,89,173,324
45,19,10,4,7,18,33
560,182,72,62,54,226,439
333,209,99,62,45,191,312
491,281,85,55,129,205,438
143,76,26,15,13,71,118
60,35,14,12,16,21,51
460,155,114,43,28,220,371
362,182,88,61,31,187,310
337,134,62,29,24,104,248
1066,690,316,177,354,549,1186
64,24,13,9,8,15,42
529,299,110,69,128,213,443
590,286,122,51,105,271,484
644,412,145,144,186,388,651
108,70,35,13,40,55,107
71,30,13,6,2,27,37
980,34,83,0,0,0,131
397,148,64,34,34,144,294
237,149,52,29,46,134,183
197,76,36,15,17,79,135
308,140,41,27,79,166,276
98,40,19,7,5,39,67
265,170,106,55,65,126,278
92,62,18,9,13,48,90
433,357,126,91,198,232,488
375,184,74,45,33,165,289
177,82,28,21,33,76,138
111,46,34,8,4,52,107
75,52,8,8,26,34,57
196,116,66,41,37,89,209
49,26,6,3,4,20,28
162,108,25,28,49,57,157
152,79,33,19,28,54,116
557,258,124,104,73,217,423
379,226,100,70,38,174,314
155,73,47,24,17,77,130
288,191,63,41,58,137,258
33,10,4,3,4,13,18
33,26,8,0,8,13,34
585,274,122,75,141,287,489
584,240,134,39,65,264,377
170,104,25,9,29,86,146
214,114,60,25,13,112,187
219,42,60,4,0,14,133
207,140,64,27,25,103,181
183,59,31,12,21,56,90
291,83,61,18,20,108,187
203,101,41,31,29,91,148
321,215,99,106,78,200,361
40,14,5,5,3,10,27
370,201,66,47,57,185,286
17,4,2,0,0,6,9
379,173,54,47,41,147,262
133,52,23,11,20,46,87
281,128,68,34,40,121,230
150,104,36,31,39,80,145
325,236,84,92,72,173,313
13,5,6,0,1,4,9
342,142,71,27,36,129,226
235,161,41,33,70,117,275
401,151,53,33,50,146,251
147,49,30,11,8,62,138
178,65,28,10,6,61,126
143,65,25,18,26,58,133
115,66,41,20,27,54,112
129,39,19,11,18,20,100
434,198,74,22,37,155,289
1058,505,249,108,132,462,828
535,223,118,78,96,242,354
202,106,39,20,26,82,159
75,22,11,4,5,27,34
463,193,82,44,31,214,385
169,96,31,15,10,80,140
262,197,102,92,51,155,304
341,129,57,13,36,127,232
69,46,9,11,10,35,81
256,193,53,30,101,134,233
332,147,57,19,41,144,234
476,217,144,56,32,224,304
85,45,24,12,8,46,63
634,278,83,38,59,266,514
258,102,55,26,40,117,178
101,43,31,10,12,43,81
343,194,111,47,53,189,332
213,90,57,31,18,86,160
483,250,96,56,63,197,424
377,242,72,51,104,174,309
282,142,65,27,25,128,254
180,86,52,27,9,77,157
60,11,9,2,4,10,37
312,156,52,30,43,156,313
114,74,46,30,19,71,110
543,218,108,57,46,229,335
182,77,38,11,14,59,100
156,49,33,8,23,53,104
57,51,13,13,27,25,59
143,63,22,12,9,52,129
334,202,115,66,57,181,277
372,180,58,39,36,147,336
494,194,77,35,56,178,322
564,290,91,54,108,223,470
377,166,85,28,41,133,310
226,73,58,26,25,103,194
179,85,32,20,19,89,132
23,8,4,1,3,5,15
422,270,104,64,98,208,373
84,26,7,4,9,27,39
260,210,95,55,142,173,284
948,517,204,105,208,394,780
306,151,47,35,52,131,260
127,62,27,9,7,57,115
81,79,22,14,33,49,94
85,42,13,8,23,24,83
139,69,31,7,12,79,99
212,123,59,33,30,107,176
728,366,141,62,73,267,605
61,16,10,7,0,25,37
1228,147,280,11,1,102,467
31,14,1,5,3,8,21
942,410,212,78,48,434,827
197,92,39,13,10,73,117
103,43,23,23,13,36,56
434,300,145,80,114,202,446
864,385,155,86,99,336,658
126,50,17,8,1,37,87
240,113,74,35,34,143,266
115,46,21,4,11,33,76
170,81,30,17,17,66,129
84,37,9,5,9,35,46
271,158,57,58,57,167,277
186,91,39,13,11,52,134
517,290,122,64,77,258,389
80,23,10,2,3,29,38
226,84,41,23,20,90,199
156,67,25,11,14,58,93
34,9,3,2,5,6,15
0,0,0,0,0,0,0
347,208,100,69,53,177,305
159,77,32,10,12,67,107
180,75,52,36,8,99,133
260,144,61,25,32,127,255
395,206,144,67,81,202,432
312,169,90,46,57,131,283
100,45,26,16,11,43,103
462,234,103,40,62,202,355
351,223,81,81,101,214,351
173,155,53,53,93,121,225
205,94,35,20,29,60,178
270,108,43,23,19,117,186
136,61,26,15,18,53,79
141,95,30,19,36,62,103
574,231,104,51,78,250,471
198,91,53,23,16,100,172
26,8,1,1,1,8,12
118,40,12,6,8,27,98
229,101,56,48,31,117,214
11,3,2,2,0,3,13
391,230,87,38,92,172,405
106,52,20,19,13,36,70
94,66,20,18,20,50,93
234,113,45,19,32,89,212
187,102,42,21,44,76,130
41,31,19,7,6,23,27
232,119,95,39,24,127,200
69,29,12,11,5,26,48
352,185,83,48,93,169,329
46,3,6,0,3,11,9
266,116,57,19,17,114,213
58,30,18,6,9,30,72
275,141,40,14,30,146,231
292,151,74,25,30,141,273
152,57,17,14,22,47,84
507,209,130,69,55,235,379
527,223,95,62,69,192,365
56,50,10,9,5,30,54
21,10,3,3,1,5,13
105,27,12,3,9,29,58
438,215,59,33,79,177,358
547,222,206,63,36,244,328
325,164,58,34,47,140,258
235,135,93,50,44,125,217
112,70,31,22,22,52,83
21,17,3,5,5,8,27
332,170,66,35,50,108,195
703,343,152,95,53,277,539
331,158,65,24,41,103,271
1288,790,291,212,285,666,1172
613,410,128,103,156,294,533
239,122,63,26,24,124,191
180,82,36,22,25,68,139
114,50,10,8,14,37,83
98,18,9,7,3,25,45
163,75,48,21,14,70,157
112,70,48,24,29,50,101
111,54,20,15,18,37,87
156,115,44,35,42,74,174
63,39,23,7,24,32,41
639,260,132,56,78,267,439
169,87,32,19,21,56,115
182,109,41,39,47,102,202
357,191,75,41,47,180,323
215,137,36,24,27,95,199
123,56,20,14,7,58,110
149,110,37,33,42,95,138
299,194,63,36,67,133,270
216,117,29,21,39,90,171
39,11,10,4,3,13,16
936,592,183,114,329,428,839
73,33,15,7,6,31,56
113,65,19,18,29,57,107
120,58,16,14,30,48,107
131,64,16,15,20,53,93
144,64,28,15,13,66,107
407,164,77,29,9,147,309
311,190,47,40,66,151,256
464,222,110,65,60,187,316
81,51,13,10,13,51,73
54,46,25,14,24,35,54
398,140,36,22,48,157,253
232,97,40,26,15,86,161
114,47,29,5,5,47,59
268,99,33,10,30,103,160
81,21,12,1,4,19,47
342,150,48,31,28,117,205
133,69,31,20,11,65,114
247,157,105,57,40,151,246
222,133,62,39,53,117,188
61,27,13,1,4,41,73
449,250,93,46,53,181,325
101,21,9,7,2,29,51
114,75,29,12,21,58,82
7,0,0,0,0,0,0
314,175,69,37,35,120,272
154,87,38,20,40,81,114
142,61,30,12,9,67,115
687,257,158,65,40,322,438
82,53,16,22,14,31,74
106,50,13,5,11,37,89
517,370,170,146,246,259,486
177,103,28,15,10,95,185
171,61,38,5,12,60,121
483,218,89,43,54,188,316
553,208,150,82,32,269,468
507,276,121,53,65,271,444
460,281,107,101,124,230,460
398,225,103,67,37,176,317
336,208,62,29,28,165,298
180,89,52,31,27,77,175
232,106,63,26,29,115,191
331,155,106,47,28,156,325
203,117,53,27,37,87,191
491,214,100,47,40,190,339
270,158,68,38,46,119,218
393,279,164,131,138,258,487
101,46,22,8,6,46,87
1594,558,442,95,123,725,1075
214,75,35,7,7,72,176
